"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.215342204E0,2.372252941E-2,-7.987103462E-1,-1.875190735E-1
1.220029808E0,6.833636761E-2,-7.767877579E-1,-5.037994385E-1
1.224717464E0,9.969604015E-2,-7.165818214E-1,-8.342771530E-1
1.229405121E0,1.033411026E-1,-6.506409645E-1,-9.979925156E-1
1.234092777E0,7.432866096E-2,-5.449225903E-1,-1.033876419E0
1.238780381E0,9.923291206E-2,-4.419355392E-1,-1.028211594E0
1.243468037E0,7.919085026E-2,-3.222322464E-1,-9.762153625E-1
1.248155694E0,4.514551163E-2,-2.288532257E-1,-9.158439636E-1
1.252843350E0,5.238777399E-2,-1.428239346E-1,-7.990398407E-1
1.257531006E0,1.333135366E-2,-2.616119385E-2,-7.162208557E-1
1.262218662E0,-2.031761408E-2,7.801985741E-2,-6.573915482E-1
1.266906267E0,-2.666002512E-2,1.122794151E-1,-5.411787033E-1
1.271593923E0,-4.269969463E-2,1.621561050E-1,-2.818307877E-1
1.276281579E0,-1.116645932E-1,1.600046158E-1,2.011203766E-2
1.280969235E0,-1.584177017E-1,1.719970703E-1,2.548809052E-1
1.285656892E0,-2.135594487E-1,8.774852753E-2,4.608736038E-1
1.290344496E0,-2.313292623E-1,3.119421005E-2,5.809268951E-1
1.295032152E0,-2.472506762E-1,-2.166604996E-2,6.247520447E-1
1.299719808E0,-2.583793402E-1,-1.278378963E-1,5.447463989E-1
1.304407464E0,-2.375176549E-1,-1.721885204E-1,3.649578094E-1
1.309095121E0,-2.145126462E-1,-1.686873436E-1,1.045875549E-1
1.313782673E0,-1.708549857E-1,-1.838092804E-1,-8.841419220E-2
1.318470381E0,-1.684696078E-1,-1.171140671E-1,-2.572469711E-1
1.323158037E0,-1.590287685E-1,-4.030609131E-2,-3.733758926E-1
1.327845694E0,-1.659070253E-1,-1.212596893E-3,-4.130697250E-1
1.332533350E0,-1.455889344E-1,7.173418999E-2,-3.383760452E-1
1.337220954E0,-1.935873032E-1,1.447656155E-1,-1.591482162E-1
1.341908610E0,-2.381696701E-1,1.936709881E-1,7.190132141E-2
1.346596267E0,-2.740891874E-1,2.753770351E-1,2.450542450E-1
1.351283923E0,-3.768461347E-1,2.798645496E-1,4.941558838E-1
1.355971579E0,-4.881615341E-1,2.927994728E-1,6.903400421E-1
1.360659183E0,-5.787211657E-1,2.897522449E-1,9.484205246E-1
1.365346839E0,-6.768461466E-1,2.652287483E-1,1.239789963E0
1.370034496E0,-7.156351805E-1,2.281706333E-1,1.478666306E0
1.374722152E0,-7.287884951E-1,2.019076347E-1,1.646295547E0
1.379409756E0,-6.788957715E-1,2.099180222E-1,1.766835213E0
1.384097412E0,-6.195415258E-1,1.853671074E-1,1.787946701E0
1.388785069E0,-5.416967273E-1,1.143290997E-1,1.666969299E0
1.393472725E0,-4.791053236E-1,3.572368622E-2,1.456689835E0
1.398160381E0,-4.792476892E-1,-3.024125099E-2,1.037881851E0
1.402847985E0,-4.650073647E-1,-4.412603378E-2,5.873699188E-1
1.407535642E0,-3.825615346E-1,-1.421165466E-2,5.241012573E-2
1.412223298E0,-3.266233206E-1,4.159736633E-2,-4.573945999E-1
1.416910954E0,-2.208120674E-1,1.242549419E-1,-8.566102982E-1
1.421598610E0,-1.944810301E-1,1.199622154E-1,-1.155405045E0
1.426286214E0,-1.859075725E-1,1.482431889E-1,-1.273060799E0
1.430973871E0,-2.241022736E-1,1.943390369E-1,-1.219639778E0
1.435661527E0,-2.711549997E-1,2.383906841E-1,-1.033663750E0
1.440349183E0,-3.129041195E-1,3.319349289E-1,-7.820758820E-1
1.445036787E0,-3.830441535E-1,3.785269260E-1,-5.268440247E-1
1.449724444E0,-4.245668650E-1,4.107739925E-1,-1.579866409E-1
1.454412100E0,-4.238685369E-1,4.564077854E-1,1.335983276E-1
1.459099756E0,-4.055161476E-1,4.431698322E-1,3.912839890E-1
1.463787412E0,-4.083239436E-1,4.136292934E-1,6.344318390E-1
1.468475017E0,-4.136505723E-1,3.434321880E-1,7.869377136E-1
1.473162673E0,-4.081166983E-1,2.658755779E-1,8.253221512E-1
1.477850329E0,-3.404126167E-1,1.521906853E-1,8.883647919E-1
1.482537985E0,-2.736606002E-1,7.886862755E-2,8.519859314E-1
1.487225642E0,-2.219888270E-1,-3.493905067E-2,7.593832016E-1
1.491913246E0,-2.323346138E-1,-1.410231590E-1,5.963745117E-1
1.496600902E0,-2.797264755E-1,-2.342627048E-1,4.394531250E-1
1.501288558E0,-3.391438127E-1,-2.665061951E-1,3.075742722E-1
1.505976214E0,-3.708959222E-1,-3.422544003E-1,1.527633667E-1
1.510663819E0,-4.119617939E-1,-4.082410336E-1,3.212356567E-2
1.515351475E0,-4.896532893E-1,-4.448668957E-1,-2.604293823E-2
1.520039131E0,-5.980971456E-1,-4.425041676E-1,1.134777069E-2
1.524726787E0,-6.886930466E-1,-3.630890846E-1,1.820955276E-1
1.529414444E0,-7.513793707E-1,-2.977490425E-1,3.474483490E-1
1.534102048E0,-7.528009415E-1,-2.419719696E-1,5.361013412E-1
1.538789704E0,-7.553982735E-1,-2.197206020E-1,6.573543549E-1
1.543477360E0,-7.306990623E-1,-1.881604195E-1,7.639446259E-1
1.548165017E0,-7.027255893E-1,-1.521945000E-1,8.654727936E-1
