"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.983237955E1,6.145902086E1,2.348984475E1,9.593899738E1,1.340000033E0,2.306999969E2,3.790092468E0,2.500000000E0
1.008324819E2,6.145901428E1,2.348982480E1,9.573897957E1,1.289999962E0,2.343999939E2,3.790092468E0,2.500000000E0
1.018320684E2,6.145900763E1,2.348980459E1,9.578615408E1,1.360000014E0,2.350000000E2,3.790092468E0,2.500000000E0
1.028327196E2,6.145899890E1,2.348977793E1,9.657673503E1,1.279999971E0,2.381999969E2,3.790092468E0,2.500000000E0
1.038318557E2,6.145899092E1,2.348975556E1,9.624817589E1,1.330000043E0,2.371000061E2,3.790092468E0,2.500000000E0
1.048325896E2,6.145898304E1,2.348973334E1,9.636444106E1,1.340000033E0,2.373000031E2,3.790092468E0,2.500000000E0
1.058324763E2,6.145897528E1,2.348971128E1,9.626787675E1,1.350000024E0,2.348000031E2,3.790092468E0,2.500000000E0
1.068328043E2,6.145896842E1,2.348968919E1,9.615690906E1,1.370000005E0,2.361000061E2,3.790092468E0,2.500000000E0
1.078319857E2,6.145896140E1,2.348966816E1,9.582041625E1,1.379999995E0,2.328000031E2,3.790092468E0,2.500000000E0
1.088328121E2,6.145895485E1,2.348964793E1,9.556680962E1,1.309999943E0,2.331000061E2,3.790092468E0,2.500000000E0
1.098326264E2,6.145894818E1,2.348962745E1,9.551486303E1,1.289999962E0,2.361999969E2,3.790092468E0,2.500000000E0
1.108325117E2,6.145894094E1,2.348960530E1,9.564766938E1,1.389999986E0,2.335000000E2,3.790092468E0,2.500000000E0
1.118322022E2,6.145893357E1,2.348958375E1,9.561091989E1,1.350000024E0,2.355000000E2,3.790092468E0,2.500000000E0
1.128321204E2,6.145892557E1,2.348956246E1,9.563227522E1,1.360000014E0,2.326999969E2,3.790092468E0,2.500000000E0
1.138325990E2,6.145891813E1,2.348954220E1,9.549652657E1,1.330000043E0,2.326000061E2,3.790092468E0,2.500000000E0
1.148323054E2,6.145891079E1,2.348952166E1,9.557043380E1,1.360000014E0,2.333000031E2,3.790092468E0,2.500000000E0
1.158325882E2,6.145890292E1,2.348950041E1,9.562895967E1,1.399999976E0,2.330000000E2,3.790092468E0,2.500000000E0
1.168320939E2,6.145889308E1,2.348947593E1,9.619657796E1,1.309999943E0,2.330000000E2,3.790092468E0,2.500000000E0
1.178322318E2,6.145888556E1,2.348945484E1,9.612320720E1,1.269999981E0,2.351999969E2,3.790092468E0,2.500000000E0
1.188325497E2,6.145887868E1,2.348943313E1,9.608999826E1,1.279999971E0,2.378999939E2,3.790092468E0,2.500000000E0
1.198323101E2,6.145887199E1,2.348941072E1,9.632162109E1,1.389999986E0,2.378999939E2,3.790092468E0,2.500000000E0
1.208320162E2,6.145886487E1,2.348938864E1,9.633809455E1,1.389999986E0,2.358999939E2,3.790092468E0,2.500000000E0
1.218318353E2,6.145885846E1,2.348936935E1,9.619911203E1,1.279999971E0,2.341000061E2,3.790092468E0,2.500000000E0
1.228325708E2,6.145885101E1,2.348934982E1,9.621723296E1,1.350000024E0,2.311999969E2,3.790092468E0,2.500000000E0
1.238319416E2,6.145884365E1,2.348932895E1,9.622882329E1,1.409999967E0,2.331999969E2,3.790092468E0,2.500000000E0
1.248324739E2,6.145883724E1,2.348930768E1,9.610076617E1,1.289999962E0,2.348999939E2,3.790092468E0,2.500000000E0
1.258322634E2,6.145883118E1,2.348928766E1,9.610008971E1,1.299999952E0,2.336999969E2,3.790092468E0,2.500000000E0
1.268321593E2,6.145882391E1,2.348926785E1,9.620182900E1,1.330000043E0,2.336999969E2,3.790092468E0,2.500000000E0
1.278327993E2,6.145881700E1,2.348924894E1,9.610611988E1,1.289999962E0,2.353000031E2,3.790092468E0,2.500000000E0
1.288323090E2,6.145881011E1,2.348922955E1,9.616952946E1,1.259999990E0,2.335000000E2,3.790092468E0,2.500000000E0
1.298319284E2,6.145880354E1,2.348921079E1,9.621993884E1,1.250000000E0,2.341999969E2,3.790092468E0,2.500000000E0
1.308318413E2,6.145879650E1,2.348919055E1,9.617562126E1,1.350000024E0,2.351999969E2,3.790092468E0,2.500000000E0
1.318324945E2,6.145878925E1,2.348916953E1,9.606019755E1,1.330000043E0,2.328999939E2,3.790092468E0,2.500000000E0
1.328320617E2,6.145878311E1,2.348915070E1,9.592036079E1,1.269999981E0,2.350000000E2,3.790092468E0,2.500000000E0
1.338326157E2,6.145877712E1,2.348913202E1,9.609967700E1,1.289999962E0,2.361000061E2,3.790092468E0,2.500000000E0
1.348326245E2,6.145877057E1,2.348911295E1,9.605542089E1,1.299999952E0,2.318999939E2,3.790092468E0,2.500000000E0
1.358323921E2,6.145876284E1,2.348909612E1,9.587371229E1,1.309999943E0,2.265000000E2,3.790092468E0,2.500000000E0
1.368320880E2,6.145875501E1,2.348907776E1,9.563920826E1,1.320000052E0,2.281999969E2,3.790092468E0,2.500000000E0
1.378328274E2,6.145874743E1,2.348905919E1,9.588395255E1,1.340000033E0,2.303999939E2,3.790092468E0,2.500000000E0
1.388325546E2,6.145874010E1,2.348904037E1,9.573074788E1,1.320000052E0,2.291000061E2,3.790092468E0,2.500000000E0
1.398326433E2,6.145873309E1,2.348902270E1,9.573159621E1,1.360000014E0,2.281999969E2,3.790092468E0,2.500000000E0
1.408327308E2,6.145872567E1,2.348900549E1,9.582625513E1,1.289999962E0,2.286999969E2,3.790092468E0,2.500000000E0
1.418327602E2,6.145871850E1,2.348898542E1,9.611756973E1,1.409999967E0,2.320000000E2,3.790092468E0,2.500000000E0
1.428320292E2,6.145871190E1,2.348896642E1,9.615381894E1,1.289999962E0,2.333999939E2,3.790092468E0,2.500000000E0
1.438324283E2,6.145870521E1,2.348894799E1,9.609296109E1,1.299999952E0,2.321999969E2,3.790092468E0,2.500000000E0
1.448318696E2,6.145869854E1,2.348892988E1,9.633923215E1,1.320000052E0,2.305000000E2,3.790092468E0,2.500000000E0
1.458323773E2,6.145869056E1,2.348890883E1,9.617113436E1,1.419999957E0,2.315000000E2,3.790092468E0,2.500000000E0
1.468326390E2,6.145868125E1,2.348888848E1,9.596867240E1,1.460000038E0,2.261000061E2,3.790092468E0,2.500000000E0
1.478324290E2,6.145867133E1,2.348886941E1,9.560593142E1,1.460000038E0,2.216999969E2,3.790092468E0,2.500000000E0
1.488321651E2,6.145866103E1,2.348884850E1,9.537502610E1,1.539999962E0,2.236000061E2,3.790092468E0,2.500000000E0
1.498325805E2,6.145865185E1,2.348882776E1,9.518483235E1,1.480000019E0,2.251999969E2,3.790092468E0,2.500000000E0
1.508322434E2,6.145864296E1,2.348880451E1,9.505793249E1,1.580000043E0,2.258000031E2,3.790092468E0,2.500000000E0
1.518320009E2,6.145863385E1,2.348878273E1,9.468823448E1,1.519999981E0,2.243999939E2,3.790092468E0,2.500000000E0
1.528327841E2,6.145862355E1,2.348875944E1,9.453240252E1,1.610000014E0,2.271999969E2,3.790092468E0,2.500000000E0
1.538325470E2,6.145861318E1,2.348873553E1,9.450321848E1,1.590000033E0,2.258000031E2,3.790092468E0,2.500000000E0
1.548323722E2,6.145860232E1,2.348871110E1,9.473056473E1,1.639999986E0,2.246000061E2,3.790092468E0,2.500000000E0
1.558321510E2,6.145859205E1,2.348868878E1,9.471828745E1,1.620000005E0,2.248999939E2,3.790092468E0,2.500000000E0
1.568318744E2,6.145858128E1,2.348866568E1,9.464296038E1,1.659999967E0,2.248999939E2,3.790092468E0,2.500000000E0
1.578324048E2,6.145856997E1,2.348864266E1,9.472479828E1,1.669999957E0,2.223999939E2,3.790092468E0,2.500000000E0
1.588319386E2,6.145855862E1,2.348862183E1,9.470806425E1,1.669999957E0,2.226000061E2,3.790092468E0,2.500000000E0
1.598322944E2,6.145854783E1,2.348860000E1,9.472190946E1,1.629999995E0,2.236999969E2,3.790092468E0,2.500000000E0
1.608320758E2,6.145853674E1,2.348857473E1,9.492319351E1,1.710000038E0,2.248000031E2,3.790092468E0,2.500000000E0
1.618319754E2,6.145852494E1,2.348855221E1,9.474843910E1,1.620000005E0,2.218000031E2,3.790092468E0,2.500000000E0
1.628327193E2,6.145851372E1,2.348852957E1,9.482991086E1,1.690000057E0,2.233999939E2,3.790092468E0,2.500000000E0
1.638321834E2,6.145850233E1,2.348850701E1,9.480188538E1,1.610000014E0,2.221000061E2,3.790092468E0,2.500000000E0
1.648326122E2,6.145849053E1,2.348848245E1,9.495086155E1,1.700000048E0,2.248999939E2,3.790092468E0,2.500000000E0
1.658320183E2,6.145847945E1,2.348846001E1,9.480204780E1,1.600000024E0,2.231999969E2,3.790092468E0,2.500000000E0
1.668323067E2,6.145846851E1,2.348843753E1,9.480020685E1,1.669999957E0,2.243000031E2,3.790092468E0,2.500000000E0
1.678326048E2,6.145845763E1,2.348841773E1,9.483297276E1,1.620000005E0,2.210000000E2,3.790092468E0,2.500000000E0
1.688326050E2,6.145844650E1,2.348839767E1,9.486567739E1,1.659999967E0,2.210000000E2,3.790092468E0,2.500000000E0
1.698321611E2,6.145843544E1,2.348837814E1,9.480200755E1,1.610000014E0,2.190000000E2,3.790092468E0,2.500000000E0
1.708319309E2,6.145842480E1,2.348835692E1,9.487963461E1,1.669999957E0,2.221999969E2,3.790092468E0,2.500000000E0
1.718318917E2,6.145841357E1,2.348833628E1,9.490055938E1,1.629999995E0,2.225000000E2,3.790092468E0,2.500000000E0
1.728321876E2,6.145840163E1,2.348831391E1,9.485556556E1,1.700000048E0,2.210000000E2,3.790092468E0,2.500000000E0
1.738323298E2,6.145838882E1,2.348829311E1,9.482424265E1,1.710000038E0,2.213999939E2,3.790092468E0,2.500000000E0
1.748327733E2,6.145837695E1,2.348827034E1,9.471229335E1,1.679999948E0,2.241000061E2,3.790092468E0,2.500000000E0
1.758323083E2,6.145836537E1,2.348824888E1,9.464538823E1,1.659999967E0,2.206000061E2,3.790092468E0,2.500000000E0
1.768318332E2,6.145835282E1,2.348822845E1,9.482073059E1,1.769999981E0,2.208000031E2,3.790092468E0,2.500000000E0
1.778325744E2,6.145834032E1,2.348820842E1,9.475382446E1,1.740000010E0,2.198999939E2,3.790092468E0,2.500000000E0
1.788325382E2,6.145832824E1,2.348818925E1,9.461953589E1,1.720000029E0,2.203999939E2,3.790092468E0,2.500000000E0
1.798319090E2,6.145831677E1,2.348816805E1,9.452980371E1,1.700000048E0,2.228999939E2,3.790092468E0,2.500000000E0
1.808322218E2,6.145830585E1,2.348814696E1,9.478339484E1,1.720000029E0,2.226000061E2,3.790092468E0,2.500000000E0
1.818321612E2,6.145829383E1,2.348812694E1,9.475066888E1,1.740000010E0,2.188999939E2,3.790092468E0,2.500000000E0
1.828319651E2,6.145828204E1,2.348810680E1,9.478087040E1,1.710000038E0,2.191999969E2,3.790092468E0,2.500000000E0
1.838320702E2,6.145827084E1,2.348808505E1,9.495731284E1,1.730000019E0,2.205000000E2,3.790092468E0,2.500000000E0
1.848324335E2,6.145825931E1,2.348806499E1,9.499947752E1,1.679999948E0,2.193999939E2,3.790092468E0,2.500000000E0
1.858327266E2,6.145824861E1,2.348804360E1,9.510432621E1,1.730000019E0,2.213000031E2,3.790092468E0,2.500000000E0
1.868319838E2,6.145823749E1,2.348802237E1,9.518207485E1,1.710000038E0,2.211000061E2,3.790092468E0,2.500000000E0
1.878324595E2,6.145822607E1,2.348800135E1,9.518920551E1,1.710000038E0,2.216999969E2,3.790092468E0,2.500000000E0
1.888318740E2,6.145821466E1,2.348798079E1,9.524131906E1,1.690000057E0,2.211000061E2,3.790092468E0,2.500000000E0
1.898323034E2,6.145820267E1,2.348795937E1,9.522501166E1,1.759999990E0,2.213999939E2,3.790092468E0,2.500000000E0
1.908319063E2,6.145819092E1,2.348793779E1,9.548385100E1,1.679999948E0,2.193000031E2,3.790092468E0,2.500000000E0
1.918324598E2,6.145817970E1,2.348791574E1,9.573329148E1,1.700000048E0,2.233999939E2,3.790092468E0,2.500000000E0
1.928323188E2,6.145816752E1,2.348789588E1,9.586639787E1,1.669999957E0,2.193000031E2,3.790092468E0,2.500000000E0
1.938321962E2,6.145815485E1,2.348787793E1,9.623241381E1,1.669999957E0,2.166000061E2,3.790092468E0,2.500000000E0
1.948322383E2,6.145814167E1,2.348785989E1,9.645096830E1,1.679999948E0,2.151999969E2,3.790092468E0,2.500000000E0
1.958326335E2,6.145812914E1,2.348783912E1,9.667111052E1,1.710000038E0,2.183000031E2,3.790092468E0,2.500000000E0
1.968321694E2,6.145811699E1,2.348781741E1,9.675618236E1,1.710000038E0,2.178999939E2,3.790092468E0,2.500000000E0
1.978323548E2,6.145810297E1,2.348779265E1,9.725647465E1,1.649999976E0,2.208000031E2,3.790092468E0,2.500000000E0
1.988328059E2,6.145808990E1,2.348777065E1,9.751213884E1,1.690000057E0,2.218999939E2,3.790092468E0,2.500000000E0
1.998318564E2,6.145807774E1,2.348774903E1,9.758793333E1,1.700000048E0,2.211999969E2,3.790092468E0,2.500000000E0
2.008319833E2,6.145806619E1,2.348772693E1,9.766928266E1,1.669999957E0,2.223999939E2,3.790092468E0,2.500000000E0
2.018326149E2,6.145805564E1,2.348770267E1,9.784395587E1,1.679999948E0,2.226000061E2,3.790092468E0,2.500000000E0
2.028326462E2,6.145804572E1,2.348767862E1,9.795210140E1,1.679999948E0,2.230000000E2,3.790092468E0,2.500000000E0
2.038326027E2,6.145803466E1,2.348765700E1,9.829089749E1,1.659999967E0,2.216999969E2,3.790092468E0,2.500000000E0
2.048318432E2,6.145802411E1,2.348763515E1,9.830883230E1,1.679999948E0,2.233000031E2,3.790092468E0,2.500000000E0
2.058323668E2,6.145801483E1,2.348761118E1,9.818846284E1,1.700000048E0,2.276000061E2,3.790092468E0,2.500000000E0
2.068324343E2,6.145800502E1,2.348758936E1,9.812412300E1,1.639999986E0,2.281999969E2,3.790092468E0,2.500000000E0
2.078322021E2,6.145799413E1,2.348756780E1,9.814462092E1,1.679999948E0,2.268000031E2,3.790092468E0,2.500000000E0
2.088325551E2,6.145798333E1,2.348754721E1,9.806923266E1,1.659999967E0,2.236000061E2,3.790092468E0,2.500000000E0
2.098322750E2,6.145797264E1,2.348752507E1,9.805585630E1,1.690000057E0,2.251999969E2,3.790092468E0,2.500000000E0
2.108321920E2,6.145796243E1,2.348750320E1,9.785412592E1,1.649999976E0,2.261999969E2,3.790092468E0,2.500000000E0
2.118327858E2,6.145795077E1,2.348748417E1,9.759166394E1,1.730000019E0,2.168999939E2,3.790092468E0,2.500000000E0
2.128325650E2,6.145793931E1,2.348745871E1,9.714707361E1,1.879999995E0,2.236999969E2,3.790092468E0,2.500000000E0
2.138323305E2,6.145792243E1,2.348743157E1,9.707247298E1,2.299999952E0,2.158000031E2,3.790092468E0,2.500000000E0
